asx_code,company_name,nger_corporation,nger_scope1_t,report_title,period_covered,document_url,retrieval_date,publication_date,page,scope1_as_printed,scope1_unit,scope1_t,boundary,australia_only_scope1_t,scope2_as_printed,notes,confidence
AGL,AGL Energy,AGL ENERGY LIMITED,32911665,AGL Energy Limited Annual Report 2024,2023-07-01 to 2024-06-30,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2024/240814-2024--annual-report.pdf,10-09-26,14-08-24,77 (PDF); report p. 77,32.9,MtCO2e,32900000,operational control,32900000,0.26 MtCO2e (location-based); 0.25 MtCO2e (market-based),"Table 7.4.1 Metrics, column FY24: Scope 1 = 32.9 MtCO2e. Gross emissions from AGL-operated facilities reported under the NGER Act; AGL operates only in Australia, so the headline figure is also the Australian operational-control figure. Publication date from the Approval of the Directors' Report, signed by the Chair, PDF p. 113 (14 August 2024); the Directors' Declaration is PDF p. 187, same signatory and same date. Consistent with 240814 in the URL.",high
ORG,Origin Energy,ORIGIN ENERGY LIMITED,15563946,Origin Energy 2024 Sustainability Performance Data (companion to Annual Report FY2024),2023-07-01 to 2024-06-30,https://www.originenergy.com.au/wp-content/uploads/111/Origin_2024_Sustainability_performance_data.pdf,10-09-26,14-08-24,6 (PDF) of the Sustainability Performance Data,"15,555",kt CO2-e,15555000,operational control,15555000,"Total Scope 1 and 2 (operational control) 17,756 kt CO2-e; Scope 2 not separately read","Row 'Total Scope 1 emissions operational control basis' = 15,555 kt CO2-e for FY24; equity-basis Scope 1 = 15,792 kt CO2-e on the same page. Origin reports Scope 1 and 2 under the NGER Act and operates in Australia, so the headline is the Australian operational-control figure. The data pack carries no printed publication date; the date used is 2024-08-14, the Origin Annual Report FY2024 Lead Auditor's Independence Declaration (PDF p. 82, Sydney) and its Directors' Declaration (PDF p. 148, Sydney) are both dated 15 August 2024.",medium
WDS,Woodside Energy Group,WOODSIDE ENERGY GROUP LTD,8421985,Woodside Energy Group Ltd Annual Report 2024; Climate Update 2024,2024-01-01 to 2024-12-31,https://www.woodside.com/docs/default-source/investor-documents/major-reports-(static-pdfs)/2024-annual-report/annual-report-2024.pdf,10-09-26,25-02-25,,,,,equity share,,,"NOT FOUND: neither the Annual Report 2024 nor the Climate Update 2024 discloses a standalone Scope 1 figure. Both report Scope 1 and 2 combined on an equity basis: gross equity Scope 1 and 2 = 6,784 kt CO2-e and net equity Scope 1 and 2 = 5,437 kt CO2-e for 2024 (Climate Update p. 8; Annual Report p. 54), with 1,347 kt CO2-e of carbon credits retired. Every 'Scope 1' occurrence in both PDFs was checked (see scope1_scan.txt); the split is only in Woodside's separate sustainability data, which is not on disk. Report period is calendar 2024. Publication date = date the financial statements were authorised for issue by resolution of the Directors, Annual Report PDF p. 151 (25 February 2025).",low
RIO,Rio Tinto,RIO TINTO LIMITED,7564804,Rio Tinto Annual Report 2024,2024-01-01 to 2024-12-31,https://cdn-rio.dataweavers.io/-/media/content/documents/invest/reports/annual-reports/2024-annual-report.pdf,10-09-26,19-02-25,152 (PDF); same figure in the equity-basis table on PDF p. 74,23,Mt CO2e,23000000,equity share,,6.9 Mt CO2e (market-based),"Group global figure on an equity basis, 2024 column: Scope 1 = 23.0 Mt CO2e; total gross Scope 1 and 2 = 29.8 Mt CO2e market-based (30.8 Mt CO2e location-based per KPMG's reasonable assurance opinion). The adjusted gross Scope 1 and 2 baseline-comparable number is 30.7 Mt CO2e. Australia-only Scope 1 is 12.9 Mt CO2e (PDF p. 74, table '2024 actual equity GHG emissions by location', equity basis), not comparable with the operational-control NGER register figure; the cell is left empty for that reason. Report period is calendar 2024. Publication date = Directors' report and Chair/Chief Executive statements dated 19 February 2025 (PDF pp. 101-102).",high
BSL,BlueScope Steel,BLUESCOPE STEEL LIMITED,6131585,BlueScope Sustainability Data Supplement FY2024; BlueScope Sustainability Report FY2024,2023-07-01 to 2024-06-30,https://www.bluescope.com/content/dam/bluescope/corporate/bluescope-com/sustainability/documents/FY2024_Sustainability_Data_Supplement_web.pdf,10-09-26,16-09-24,14 (PDF) of the Data Supplement; also p. 22 of the Sustainability Report,"8,500",ktCO2-e,8500000,group global,,"1,750 ktCO2-e","Data Supplement climate-action table, FY2024 column: Scope 1 GHG emissions = 8,500 ktCO2-e (FY2023: 8,510). The same figure is charted in the Sustainability Report p. 22 next to Scope 2 of 1,750 and Scope 3 of 12,310 ktCO2-e. Group figure covers BlueScope globally (Port Kembla and Western Port in Australia, Glenbrook in New Zealand, North Star in the US); no Australia-only Scope 1 split is published, though the Data Supplement states on PDF p. 23 that the three steelmaking sites are over 90 per cent of BlueScope's Scope 1. Publication date printed on p. 2 of both documents: 'As at 16 September 2024'; the assurance partner signed on 16 September 2024 (Data Supplement p. 9).",high
S32,South32,SOUTH32 LIMITED,5697621,South32 Annual Report 2024,2023-07-01 to 2024-06-30,https://www.south32.net/docs/default-source/annual-reporting-suite/2024/annual-report-2024.pdf,10-09-26,29-08-24,,,,,operational control,,,"NOT FOUND: the Annual Report 2024 gives only combined operational GHG emissions (Scope 1 and 2) of 20.3 Mt CO2-e for FY24 (PDF p. 43, report p. 41; FY23: 21.7 Mt) and states on PDF p. 29 that Scope 1 emissions decreased by 0.9 Mt CO2-e and Scope 2 by 0.5 Mt CO2-e year on year (PDF p. 26 gives the same movements as percentages), which does not give a level, so no figure is entered. Every 'Scope 1' occurrence in the PDF was checked (see scope1_scan.txt); the Scope 1 / Scope 2 split is published in South32's separate Sustainable Development Report 2024, which is not on disk (south32.net returned Cloudflare 403 during the download session). Publication date = the Directors' declaration, PDF p. 172 (printed p. 170), dated 29 August 2024; KPMG's lead auditor independence declaration and remuneration-report opinion, PDF pp. 173 and 178, carry the same date, Perth.",low
AAI,Alcoa Corporation,ALCOA AUSTRALIAN HOLDINGS PTY LTD,5607995,Alcoa 2024 Sustainability Report,2024-01-01 to 2024-12-31,https://www.alcoa.com/sustainability/pdf/2024-Sustainability-Report.pdf,10-09-26,02-06-25,85 (PDF),15.57,Million metric tons of CO2e,15570000,group global,,4.44 (location-based); 10.65 (market-based) million metric tons of CO2e,"Published 2 June 2025: Alcoa's own newsroom press release ""Alcoa Releases 2024 Sustainability Report"" (news.alcoa.com, dateline 06/02/2025). No date is printed in the document; the ERM CVS assurance statement on PDF p.134 is signed 28 May 2025 and the report cites the Form 10-K filed 20 February 2025, both consistent. Table 'Scope 1 and Scope 2 Emissions (Location-based and Market-based)', row 2024: Scope 1 = 15.57 million metric tons CO2e; totals 20.01 (location-based) and 26.22 (market-based). Group figure covers Alcoa Corporation's global operations (the US-listed parent of the Australian NGER registrant Alcoa Australian Holdings Pty Ltd); no Australia-only Scope 1 figure appears in this report. Report period is calendar 2024. The report cites Alcoa Form 10-K filed 20 February 2025, so it post-dates that. Scope 1 assured to a limited level by ERM CVS.",medium
QAN,Qantas Airways,QANTAS AIRWAYS LIMITED,4528002,Qantas Group Sustainability Report 2024 (companion to Qantas Annual Report 2024),2023-07-01 to 2024-06-30,https://investor.qantas.com/FormBuilder/_Resource/_module/doLLG5ufYkCyEPjF1tpgyw/file/annual-reports/QAN_2024_Sustainability_Report.pdf,10-09-26,12-09-24,88 (PDF) of the Sustainability Report; narrative p. 35; assurance table p. 90,"11,456,418",tCO2e,11456418,operational control,,"60,297 tCO2e","Data table row 'CO2-e emissions - Scope 1', FY24 = 11,456,418 tCO2e; the same figure appears in the narrative on p. 35 and in KPMG's reasonable assurance conclusion on p. 90. Group figure covers all activities under Qantas Group operational control, domestic and international (aviation fuel is over 99.8 per cent of it); domestic emissions use NGER methodology, international emissions CORSIA. No Australia-only Scope 1 figure is published: the only domestic line is 'Domestic (Scope 1 and 2)' = 4,587,761 tCO2e, which combines Scope 1 and Scope 2, so australia_only_scope1_t is left empty. Publication date = the Directors' resolution signing the Qantas Annual Report 2024, 12 September 2024 (Annual Report PDF p. 66); the Sustainability Report carries no printed date and its PDF creation metadata is also 2024-09-12.",high
STO,Santos,SANTOS LIMITED,4233840,Santos Annual Report 2024,2024-01-01 to 2024-12-31,https://www.santos.com/wp-content/uploads/2025/02/FINAL-Appendix-4E-and-2024-Annual-Report.pdf,10-09-26,18-02-25,115 (PDF); EY assurance statement p. 117,4.44,MtCO2e,4440000,operational control,2770000,0.80 MtCO2e (gross operated),"Greenhouse gas emissions data table, 2024 column: Scope 1 gross operated emissions = 4.44 MtCO2e; equity share = 4.12 MtCO2e. Both are repeated in EY's limited assurance statement (PDF p. 117). Gross operated covers all Santos-operated assets including PNG, Timor-Leste and Alaska, not Australia alone. australia_only_scope1_t = 2.77 MtCO2e is the 'Emissions - by location (equity share): Australia' row on the same page, i.e. an equity-share figure, NOT operational control, so it is not directly comparable with the NGER register figure. Report period is calendar 2024. Publication date: 'This report is made out on 18 February 2025 in accordance with a resolution of the Directors' (PDF p. 206). Served from santos.com; the same file is mirrored on annualreports.com.",high
BHP,BHP Group,BHP GROUP LIMITED,3698759,BHP Annual Report 2024,2023-07-01 to 2024-06-30,https://www.bhp.com/-/media/documents/investors/annual-reports/2024/240827_bhpannualreport2024.pdf,10-09-26,27-08-24,56 (PDF); report p. 54,8.2,MtCO2-e,8200000,operational control,,1.9 MtCO2-e (market-based); 3.7 MtCO2-e (location-based),"Table 'Operational GHG emissions (Scopes 1 and 2 emissions): Operational control basis (MtCO2-e)', total operations basis, FY2024 column: Scope 1 = 8.2 (FY2023 8.0; FY2022 9.1 restated). Group figure covers BHP's operated assets globally (Australia, Chile and others); no Australia-only Scope 1 figure is given in the Annual Report. Scope 1 and 2 carry reasonable assurance from EY (PDF p. 73). Publication date = the Directors' declaration, PDF p. 200, dated 27 August 2024 (the Remuneration Report chair's signature, PDF p. 119, and the board approval of that report, PDF p. 133, carry the same date, as does the EY partner's signature). Consistent with 240827 in the URL.",high
