fy,url,file,encoding
2008-09,https://cer.gov.au/document/greenhouse-and-energy-information-2008-09,nger_2008-09.csv,UTF-8
2009-10,https://cer.gov.au/document/greenhouse-and-energy-information-2009-10,nger_2009-10.csv,UTF-8
2010-11,https://cer.gov.au/document/greenhouse-and-energy-information-2010-11,nger_2010-11.csv,windows-1252
2011-12,https://cer.gov.au/document/greenhouse-and-energy-information-2011-12,nger_2011-12.csv,windows-1252
2012-13,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2012-13,nger_2012-13.csv,UTF-8
2013-14,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2013-14,nger_2013-14.csv,UTF-8
2014-15,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2014-15,nger_2014-15.csv,UTF-8
2015-16,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2015-160-csv,nger_2015-16.csv,UTF-8
2016-17,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2016-17,nger_2016-17.csv,UTF-8
2017-18,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2017-18,nger_2017-18.csv,UTF-8
2018-19,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2018-19-0,nger_2018-19.csv,UTF-8
2019-20,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2019-20,nger_2019-20.csv,UTF-8
2020-21,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2020-21,nger_2020-21.csv,UTF-8
2021-22,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2021-22-0,nger_2021-22.csv,UTF-8
2022-23,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2022-23-0,nger_2022-23.csv,UTF-8
2023-24,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2023-24-0,nger_2023-24.csv,UTF-8
2024-25,https://cer.gov.au/document/greenhouse-and-energy-information-registered-corporation-2024-25-0,nger_2024-25.csv,windows-1252
